Donor_Arr	Recipient_Arr	Region	Length	Psi	exclude
CH	AR	3	5	0.00076	N
CH	AR	3	2	0.00076	N
CH	AR	3	2	0.00076	N
CH	AR	3	2709	0.00076	N
CH	AR	3	55	0.00076	N
CH	AR	3	2	0.00076	N
CH	AR	3	281	0.00076	N
CH	AR	3	2977	0.00076	N
CH	AR	3	89	0.00076	N
CH	AR	3	507	0.00076	N
CH	AR	3	2160	0.00076	N
CH	AR	3	530	0.00076	N
CH	AR	3	3033	0.00076	N
CH	AR	3	2547	0.00076	N
CH	AR	3	35	0.00076	N
CH	AR	3	16	0.00076	N
CH	AR	3	41	0.00076	N
CH	AR	3	21	0.00076	N
CH	AR	3	68595	0.00076	N
CH	AR	3	2028	0.00076	N
CH	AR	3	30	0.00076	N
