Region,Beg,End,Count
  557,   6281916,   6283790, 1.020
  558,   6286261,   6286287, 1.000
  559,   6288066,   6288115, 1.000
  560,   6293462,   6293487, 1.000
  561,   6298147,   6298296, 1.380
  562,   6299583,   6299619, 1.000
  563,   6299671,   6299752, 1.000
  564,   6300750,   6300751, 1.000
  565,   6302366,   6302772, 1.000
  566,   6304821,   6309133, 1.042
  567,   6309388,   6309485, 1.000
  568,   6309629,   6310468, 2.057
  569,   6311052,   6311093, 1.000
  570,   6312160,   6312254, 1.926
  571,   6312318,   6312514, 1.122
  572,   6313222,   6313224, 1.000
  573,   6316114,   6316122, 1.000
  574,   6319812,   6319829, 1.000
  575,   6332348,   6334289, 1.000
  576,   6342060,   6342225, 2.313
  577,   6343387,   6343707, 2.732
  578,   6349143,   6355285, 1.068
  579,   6357932,   6357975, 1.000
  580,   6362999,   6363170, 1.709
  581,   6363798,   6363853, 1.000
  582,   6365568,   6365723, 1.000
  583,   6370884,   6370914, 1.000
  584,   6371019,   6371539, 1.000
  585,   6371626,   6371705, 1.000
  586,   6372025,   6372047, 1.000
  587,   6372433,   6372838, 1.739
  588,   6374266,   6374314, 1.816
  589,   6375459,   6375500, 1.571
  590,   6388891,   6388974, 1.190
  591,   6396781,   6410510, 1.510
  592,   6411201,   6411207, 1.000
  593,   6418335,   6427073, 1.210
  594,   6430832,   6430948, 1.299
  595,   6441365,   6443200, 1.364
  596,   6445556,   6446019, 1.450
  597,   6446177,   6446219, 1.349
  598,   6448174,   6448241, 1.000
  599,   6448338,   6448339, 1.000
  600,   6448671,   6448689, 1.000
  601,   6456230,   6460337, 1.010
  602,   6460557,   6460558, 1.000
  603,   6460734,   6460903, 1.000
  604,   6462944,   6464369, 1.000
  605,   6464389,   6464501, 1.814
  606,   6465754,   6471465, 1.009
  607,   6472168,   6478935, 1.111
  608,   6479707,   6480202, 1.141
  609,   6481075,   6481237, 1.080
  610,   6483494,   6483793, 1.007
  611,   6489149,   6489660, 1.516
  612,   6495719,   6496640, 1.000
  613,   6502810,   6502996, 1.021
  614,   6503233,   6503254, 1.000
  615,   6505625,   6512466, 1.145
  616,   6513263,   6513682, 1.000
  617,   6516640,   6517104, 1.938
  618,   6517379,   6518413, 2.184
  619,   6519897,   6520371, 1.000
  620,   6520669,   6530686, 1.764
  621,   6533095,   6543484, 1.105
  622,   6544721,   6545904, 1.000
  623,   6546147,   6546279, 1.000
  624,   6547710,   6550428, 1.000
  625,   6551312,   6551344, 1.000
  626,   6553995,   6554275, 1.085
  627,   6558958,   6559026, 1.000
  628,   6561425,   6561462, 1.000
  629,   6568886,   6569401, 1.795
  630,   6569788,   6571305, 1.399
  631,   6572872,   6584095, 1.077
  632,   6584322,   6584801, 2.131
  633,   6587003,   6594467, 1.706
  634,   6596338,   6597123, 1.248
  635,   6597255,   6597504, 1.536
  636,   6597660,   6600794, 1.026
  637,   6600800,   6601049, 1.000
  638,   6601751,   6601757, 1.000
  639,   6602033,   6602591, 1.950
  640,   6607919,   6607940, 1.000
  641,   6609947,   6610028, 2.439
  642,   6610640,   6610710, 1.000
  643,   6614002,   6614024, 1.000
  644,   6617821,   6617834, 1.000
  645,   6618897,   6627160, 1.059
  646,   6628959,   6630991, 2.217
  647,   6632198,   6632241, 1.114
  648,   6632515,   6632754, 1.242
  649,   6635460,   6635804, 1.026
  650,   6635987,   6636020, 1.000
  651,   6641185,   6644052, 2.366
  652,   6648722,   6648760, 1.000
  653,   6650980,   6659884, 1.000
  654,   6663425,   6663711, 1.000
  655,   6669896,   6674479, 3.186
  656,   6674732,   6677364, 2.321
  657,   6678411,   6690280, 1.317
  658,   6690302,   6690981, 2.126
  659,   6693576,   6698288, 1.345
  660,   6701669,   6701677, 1.000
  661,   6703713,   6703891, 1.827
  662,   6705429,   6705836, 1.752
  663,   6706379,   6706486, 1.000
  664,   6709774,   6724187, 1.677
  665,   6725390,   6725403, 1.000
  666,   6727792,   6727803, 1.000
  667,   6728820,   6728867, 1.000
  668,   6729390,   6729411, 1.000
  669,   6736818,   6736826, 1.000
  670,   6737558,   6737561, 1.000
  671,   6742660,   6742820, 1.366
  672,   6743097,   6744383, 1.095
  673,   6746669,   6746915, 1.000
  674,   6747405,   6747410, 1.000
  675,   6748221,   6748870, 1.092
  676,   6749745,   6749747, 1.000
  677,   6753202,   6756057, 1.037
  678,   6756478,   6757031, 1.007
  679,   6757459,   6763676, 1.201
  680,   6764535,   6764540, 1.000
  681,   6769294,   6769523, 1.000
  682,   6770833,   6770840, 1.000
  683,   6790441,   6791864, 1.041
  684,   6791981,   6793362, 1.210
  685,   6796244,   6796301, 1.897
  686,   6797728,   6797737, 1.000
  687,   6798615,   6802068, 1.213
  688,   6804121,   6810799, 1.565
  689,   6811875,   6814586, 1.008
  690,   6815571,   6815572, 1.000
  691,   6823628,   6823646, 1.895
  692,   6824482,   6824648, 1.952
  693,   6824803,   6826274, 1.300
  694,   6826466,   6826468, 1.000
  695,   6827642,   6827930, 1.142
  696,   6828012,   6829010, 1.000
  697,   6832194,   6832228, 2.029
  698,   6834796,   6835700, 1.000
  699,   6836447,   6836464, 1.222
  700,   6837754,   6837917, 1.402
  701,   6839285,   6849033, 1.320
  702,   6849914,   6850144, 1.000
  703,   6852528,   6857071, 1.122
  704,   6858517,   6858538, 1.000
  705,   6859692,   6860367, 1.040
  706,   6862589,   6908087, 1.211
  707,   6908230,   6916978, 1.118
  708,   6917902,   6917904, 1.000
  709,   6919093,   6919376, 1.004
  710,   6919843,   6919952, 1.455
  711,   6920999,   6921002, 1.000
  712,   6921043,   6921054, 1.000
  713,   6921381,   6924461, 1.044
  714,   6925661,   6925666, 1.000
  715,   6925683,   6930885, 1.035
  716,   6931086,   6931087, 1.000
  717,   6934191,   6935271, 1.000
  718,   6936983,   6939381, 1.061
  719,   6940537,   6940692, 1.000
  720,   6944625,   6944666, 1.000
  721,   6945038,   6945472, 1.000
  722,   6948235,   6948783, 1.000
  723,   6949015,   6949230, 1.000
  724,   6950241,   6950675, 1.257
  725,   6955944,   6955951, 1.000
  726,   6957114,   6957123, 1.000
  727,   6959789,   6959804, 1.625
  728,   6960461,   6968423, 1.212
  729,   6971958,   6972327, 1.043
  730,   6972851,   6974099, 1.069
  731,   6974469,   6975793, 1.000
  732,   6977239,   6977280, 1.000
  733,   6978066,   6978225, 1.000
  734,   6982038,   6982270, 2.090
  735,   6982367,   6987366, 1.436
  736,   6994487,   6997114, 1.806
  737,   6997897,   6997907, 1.000
  738,   7002396,   7003935, 1.010
  739,   7006338,   7006385, 1.000
  740,   7008994,   7009009, 1.000
  741,   7009825,   7012464, 1.162
  742,   7015111,   7015138, 1.000
  743,   7015230,   7015517, 1.000
  744,   7015655,   7015674, 1.000
  745,   7016459,   7016499, 1.000
  746,   7026470,   7026479, 1.000
  747,   7026596,   7027130, 1.077
  748,   7027291,   7027292, 1.000
  749,   7027420,   7028305, 1.108
  750,   7029030,   7029088, 1.000
  751,   7032324,   7032511, 1.761
  752,   7035622,   7036331, 1.000
  753,   7037453,   7040225, 1.042
  754,   7045449,   7046420, 1.000
  755,   7048031,   7048041, 1.273
  756,   7050539,   7050937, 1.008
  757,   7054107,   7054109, 1.000
  758,   7054828,   7055265, 1.374
  759,   7056929,   7056943, 1.000
  760,   7057152,   7057198, 1.255
  761,   7057656,   7058304, 1.008
  762,   7058414,   7058515, 1.000
  763,   7063984,   7066823, 1.189
  764,   7067568,   7067571, 1.000
  765,   7069144,   7072766, 1.594
  766,   7073556,   7073849, 1.020
  767,   7074929,   7074945, 1.118
  768,   7075603,   7075975, 1.000
  769,   7077951,   7079332, 1.013
